week	m_noSOA2	m_noSOA3	m_noSOA4	m_noSOA5	m_noSOA6	m_noSOA7	m_SOA2	m_SOA3	m_SOA4	m_SOA5	m_SOA6	m_SOA7	f_noSOA2	f_noSOA3	f_noSOA4	f_noSOA5	f_noSOA6	f_noSOA7	f_SOA2	f_SOA3	f_SOA4	f_SOA5	f_SOA6	f_SOA7
1	62.698028264	66.65499583	74.988142422	90.579688575	94.531205791	112.34000145	117.44028598	124.85212038	140.46101824	169.66569484	177.06732013	210.42514833	88.03196613	93.587796901	105.28805764	127.17956685	132.72774498	157.73241163	164.89353117	175.30021178	197.21608386	238.22128247	248.61362886	295.45011292
2	38.215072276	40.626883392	45.706019182	55.209221749	57.617710823	68.472349031	72.742804941	77.333713582	87.001903698	105.09135295	109.67593805	130.33785972	59.269805844	63.010413098	70.887917292	85.626944002	89.362398923	106.19743968	112.82071886	119.94100537	134.93592012	162.99181747	170.10229647	202.1479793
3	20.54730934	21.844081166	24.575008207	29.684647709	30.979633354	36.815906734	56.589870344	60.161342808	67.682658841	81.755247719	85.321800817	101.39563065	27.547175289	29.285719262	32.946993089	39.79733698	41.533486272	49.358006903	75.868380242	80.656548677	90.740156596	109.60686397	114.38843715	135.93814961
4	14.856388875	15.793998088	17.768549278	21.462988788	22.399306532	26.619126533	64.137550267	68.185368247	76.709840599	92.659362502	96.701604996	114.91928358	19.709485159	20.953380631	23.572953107	28.474245157	29.716427281	35.314724443	85.089189959	90.459297667	101.7684363	122.92814529	128.29085618	152.45965444
5	11.472237658	12.19626796	13.721034221	16.573913775	17.296946793	20.555529908	67.527167609	71.788909476	80.763893255	97.556334413	101.81220613	120.9926742	14.473219345	15.386646148	17.310270571	20.909424702	21.821593346	25.932577582	85.191358276	90.567913981	101.89063172	123.0757476	128.44489761	152.64271584
6	9.1062409761	9.6809496421	10.891253109	13.155764137	13.729681196	16.316224812	68.666400232	73.000040796	82.126439105	99.202181006	103.52985239	123.03390896	9.9046069759	10.52970173	11.846115406	14.309161551	14.933395296	17.746707398	74.686548329	79.400129561	89.326661111	107.89947428	112.606563	133.82058702
7	7.844008563	8.3390558289	9.3815969588	11.332220047	11.826585432	14.054603593	77.767997238	82.67605338	93.012137929	112.35123601	117.25253177	139.34181288	9.1286699051	9.7047940949	10.918078573	13.188167156	13.763497789	16.356412135	90.504538625	96.216417193	108.24530564	130.7516863	136.45569729	162.16267531
8	6.2615640366	6.6567408306	7.4889604787	9.0460662979	9.4406987732	11.219238187	63.233232902	67.223978043	75.628258271	91.35289741	95.338145676	113.29896127	6.3623639593	6.7639023892	7.6095192772	9.1916917005	9.5926770491	11.399847749	64.251174258	68.306163221	76.84573725	92.823514806	96.872918404	115.12287083
